ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Women Ditsy Printed Sweetheart Neck Top,8134437503192,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Mens Striped Regular Fit Sweatshirt,8136362197208,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Boxer Shorts,8149834432728,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Top,8154109280472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Solid Regular Fit Sweatshirt,8149725282520,0,0,,0,0,,,10,1,0,10.00,,,0,0,,,316,0,,,0,0,,,,,,,,,,,24,,,0,,,,,0,,0,
Men Denim Jeans,8149837414616,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8140551913688,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Womens Back Printed Regular Fit Sweatshirt,8140530647256,0,0,,0,0,,,0,0,0,,,,0,0,,,12,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Colorblocked Relaxed Fit Sweatshirt,8149796520152,0,0,,0,0,,,2,0,0,,,,0,0,,,229,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Men Short Kurta,8149888958680,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bootcut Jeans,8214348923096,0,0,,0,0,,,10,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,24,,,0,,,,,0,,0,
BlackT-shirt,7639420272856,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Joggers Trousers,8038265618648,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8162520858840,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Chino,8134361678040,0,0,,0,0,,,6,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,16,,,0,,,,,0,,0,
Men's Cotton Blue Tropical Slim Fit Long Sleeves Shirt,7842724413656,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Carrot Fit Jeans,8134366429400,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Blue Cotton Checkered Long Sleeves Shirt,7639396384984,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Off White Ditsy Printed Sweetheart Neck Fitted Crop Top,7831894982872,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Teal Checkered Slim Fit Long Sleeves Shirt,7998212767960,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's CottonPoly Grey Solid Slim Fit Long Sleeves SweatShirt,7607479992536,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Blue Solid Slim Fit Stretchable Jeans,7669837201624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Pink Striped Slim Fit Short Sleeves Shirt,7669839233240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Formal Shirt,8046550188248,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8046556676312,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed Shirt,8046566539480,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Crewneck T-Shirt,8149865529560,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Super Skinny Fit Grey Cotton Poly Spandex Solid Denim Jegging,7710102126808,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Rust Cotton Abstract Long Sleeves Shirt,7871440748760,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Blue Solid Slim Fit Joggers,7869732946136,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Green Solid Slim Fit Chinos,7602528321752,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Distressed Straight Fit Mid-Rise Jeans,7831888298200,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Short Kurta,8167341752536,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Animal Printed Regular Fit Lounge Sets,7669829828824,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8174304854232,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Purple Mid-Rise Solid Flare Pants,7831903764696,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Knit Tracksuit,8149859533016,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
JCK Napa Lace-Ups Grey Casual Shoes,7974591168728,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Tan Solid Slim Fit Shorts,7977089368280,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Plus Size Slim Fit Jeans,8149842755800,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Denim Cargo Jogger,8149944074456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Flyknit Lace-Ups Dark Grey Sports Shoes UK 126,7974592413912,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Beige Solid Slim Fit Shorts,7977087959256,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Freehand Women Red Fitted Solid Collared Shirt Style,8370790367448,0,0,,0,0,,,0,0,0,,,,0,0,,,1,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Lounge Pants,8046850572504,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jacket,8149953183960,0,0,,0,0,,,0,0,0,,,,0,0,,,18,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Printed Dress,8192616202456,0,0,,0,0,,,4,0,0,,,,0,0,,,146,0,,,0,0,,,,,,,,,,,10,,,0,,,,,0,,0,
Men Relaxed Fit Jeans,8153514377432,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
The Indian Garage Co Men Blue Classic Graphic Printed Casual Shirt,8149724168408,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Women Solid Top,8154109542616,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8150967845080,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Brown Abstract Slim Fit Long Sleeves Shirt,7764385497304,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Womens Back Printed Regular Fit Sweatshirt,8140530745560,0,0,,0,0,,,0,0,0,,,,0,0,,,2,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8174307311832,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's CottonPoly Olive Solid Slim Fit Long Sleeves SweatShirt,7669828190424,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Blue Solid Slim Fit Stretchable Jeans,7669830975704,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Orange Polyester Solid Long Sleeves Kurta,7873303773400,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Cream Cotton Abstract Long Sleeves Shirt,7639401234648,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8149757657304,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Brown Slim Fit Solid Puffer Jacket With Sherpa Faux Fur Flat Collar,8009237070040,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jacket Winter,8149754675416,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Sherwani Set,8149781151960,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Check Printed Top With Sleeve Tie Up,8044921651416,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8038269550808,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Trousers,8046576271576,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Tropical,8039689191640,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Slim Fit Jeans,8041438183640,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
TIGC_Product Title,8047453208792,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Chino Pants,8155581776088,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta Set,8134390382808,0,0,,0,0,,,9,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,23,,,0,,,,,0,,0,
Men Printed Shirt,8134413156568,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Slim Fit Luxe Formal Shirt,8211680002264,0,0,,0,0,,,5,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,13,,,0,,,,,0,,0,
Men Casual Shorts,8149835317464,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Kurta,8134407520472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Distressed Slim Fit Jeans,8149740126424,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jogger Colorblock,8134388187352,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey PU Solid Long Sleeves Jackets (New),7639393468632,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Biker Jacket,8150967451864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Yellow Cotton Solid Lounge Pants,7639397990616,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Maroon Ditsy Slim Fit Long Sleeves Shirt,7602526126296,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jacket,8046824685784,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton White Solid Slim Fit Short Sleeves T-Shirt,7809057784024,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta,8168307130584,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta Pajama,8168308670680,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Burgundy Joggers,7638239183064,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Skinny Fit Stretchable High-Rise Distressed Jeans,7710099964120,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Navy Blue Checkered Slim Fit Long Sleeves Shirt,7602515083480,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Flared Pant,8149767946456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton White Checkered Slim Fit Long Sleeves Shirt,7602520555736,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Laser Checked Bootcut Denim Jeans,8044912935128,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Checkered Slim Fit Long Sleeves Shirt,7638234235096,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Casual Shirt,8170278617304,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jeans Denim,8134377537752,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Casual Shirt,8037482103000,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Cotton Relaxed Fit Solid Stone Blue Cargo Parachute Shorts,7997270655192,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Basic Parka With Fur Insert At Hood,8149770502360,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Knit Tracksuit,8149858713816,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Burgundy Joggers,7639419551960,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Ditsy Printed Sweetheart Neck Top,8149820440792,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Printed Shirt,8155577155800,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Shirt,8149861368024,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Hooded Zip Front Co-Ord Set,8149894267096,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bootcut Jeans,8214355247320,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Blue Plus Size Solid Formal Shirt,8473147343064,0,0,,0,0,,,0,0,0,,,,0,0,,,102,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Athleisure Sweatshirt Sweatshirt,8039673888984,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Jeans,8041441951960,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Slim Straight Fit Jeans,8038640419032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Striped Maxi Dress,8134439502040,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Shirt,8140525764824,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jeans Denim,8134383173848,0,0,,0,0,,,13,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,35,,,0,,,,,0,,0,
Men Checkered Shirt,8134390415576,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
The Indian Garage Co Men White Printed Straight Asymmetric Kurta,8149868019928,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Basic T-Shirt,8134409257176,0,0,,0,0,,,9,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,23,,,0,,,,,0,,0,
Women Solid Skinny Fit Jegging,8134435406040,0,0,,0,0,,,0,0,0,,,,0,0,,,3,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Checked Shirt,8046578761944,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Blue Solid Jeans,7620660396248,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Trail Kurta,8046760067288,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Brown Cotton Multi Stripes Long Sleeves Shirt,7597931561176,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Solid Slim Fit Long Sleeves Shirt,7669839036632,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Pink Checkered Slim Fit Short Sleeves Shirt,7638237642968,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Checkered Slim Fit Long Sleeves Shirt,7669837594840,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Yellow Checkered Slim Fit Long Sleeves Shirt,7638237937880,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Grey Melange Tropical Slim Fit Short Sleeves Shirt,7733787853016,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Poly Lycra Grey Solid Slim Fit Shorts,7998211981528,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Checked Shirt,8149906555096,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Black Embroidered Regular Fit Shorts,7980833210584,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Solid Slim Fit Long Sleeves Shirt,7842727002328,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton White Printed Slim Fit Shorts,7809047265496,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Polyester Viscose Lycra Regular Fit Dobby Beige Woven Jogger,7997266690264,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Kurta Trail Cut,8134402113752,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Sportswear T-Shirt,8149934735576,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Tigc_Product Title,8149931458776,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women High Waist Pleated Trouser,8149848359128,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Sweatshirt,8174308589784,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Indie Button-Up,8134414631128,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Pu Slip-On Grey Formal Shoes,7974598017240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Printed Striped A-Line Dress,8134432948440,0,0,,0,0,,,3,0,0,,,,0,0,,,"1,398",0,,,0,0,,,,,,,,,,,7,,,0,,,,,0,,0,
Mens Back Printed Oversized T-Shirt,8453113577688,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Printed Plus Size T-Shirt,8493284753624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Tee Shirt,8046579155160,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Shirt,8046557102296,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Jeans,8041440215256,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Oversized Striped Seersucker Shirt,8149831745752,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Boxer Shorts,8149834334424,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Tropical Regular Fit Lounge Sets,7669829632216,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8134448513240,0,0,,0,0,,,43,1,0,2.33,,,0,0,,,0,0,,,0,0,,,,,,,,,,,106,,,0,,,,,0,,0,
Men Plus Size Floral Printed Shirt,8149760508120,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Oversized Striped Seersucker Shirt,8149831778520,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Trouser,8192619184344,0,0,,0,0,,,4,1,0,25.00,,,0,0,,,2,0,,,0,0,,,,,,,,,,,10,,,0,,,,,0,,0,
Men Casual Checked Shirt,8046763278552,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Tropical Print Navy Blue Casual Shirt,7597928841432,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit NavyBlue Cotton Solid Long Sleeves Shirt,7639416799448,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
